id,name,wikidata_id,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,date_premiered,year_written,year_premiered,year_printed,year_normalized,digital_source,original_source_publisher,original_source_pub_place,original_source_year,original_source_number_of_pages,average_degree,density,average_clustering,size,max_degree,num_connected_components,num_edges,diameter,average_path_length
ger000637,achat-ein-april-scherz,Q121463020,Comedy,False,Achat,Ein April-Scherz,Original-Lustspiel in einem Akt,0,fraeulein|rittmeister,22,0,6,3,3,0,0,518,0,0,6888,6681,411,,,,1842,1842,https://books.google.com/books?id=qHNIAQAAMAAJ&amp;pg=PA45,Vereins-Buchhandlung,Berlin,1842.0,30.0,4.0,0.8,0.8444444444444444,6,5,1,12,2,1.2
ger000171,alberti-brot,Q51370104,,False,Alberti,Brot!,Ein soziales Schauspiel in fünf Akten,0,muenzer,36,5,49,24,7,18,21,797,12,0,28744,26008,1771,,1888,,1888,1888,http://www.textgridrep.org/textgrid:jkjf.0,,,,,15.020408163265307,0.3129251700680272,0.8497673123239153,49,40,1,368,3,1.751700680272109
ger000630,alexander-die-verpfaendung,Q120646668,,False,Alexander,Die Verpfändung,Ein Schauspiel in einem Aufzuge,0,robert,15,0,13,11,2,0,0,197,0,0,6667,6295,740,,,,1779,1779,https://books.google.com/books?id=3GxUAAAAcAAJ&amp;printsec=frontcover,Neumann,Brünn,1779.0,45.0,5.538461538461538,0.46153846153846156,0.6554945054945056,13,10,1,36,3,1.6282051282051282
ger000525,andre-der-comoedienfeind,Q105436023,Comedy,False,André,Der Comödienfeind,Ein Lustspiel in einem Aufzuge,0,several characters,9,0,6,4,2,0,0,225,0,0,5712,5614,552,,,,1765,1765,https://books.google.com/books?id=hOtRhHivrfQC&amp;printsec=frontcover,Weiß,Offenbach am Mayn,1765.0,48.0,5.0,1.0,1.0,6,5,1,15,1,1.0
ger000576,angely-prinz-tu-ta-tu,Q111976082,Comedy,False,Angely,Prinz Tu-Ta-Tu,Burleske mit Gesang nach Sauvage,0,chor_volk|gululi,13,0,8,6,1,1,1,342,124,0,7873,7416,894,1835-11-25,,1835,1836,1835,https://de.wikisource.org/wiki/Prinz_Tu-Ta-Tu,"Magazin für Buchhandel, Musik und Kunst",Hamburg,1836.0,53.0,5.75,0.8214285714285714,0.8904761904761905,8,7,1,23,2,1.1785714285714286
ger000639,anonym-amalie-und-charlotte-baronessen-von-habenichts,Q121592940,Comedy,False,(Anonym),Amalie und Charlotte Baronessen von Habenichts: oder die ungleichen Schwestern,Ein deutsches Lustspiel von einer Handlung,0,amalie,21,0,11,7,4,0,0,252,7,0,8573,8336,480,,,,1754,1754,https://haab-digital.klassik-stiftung.de/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10003508625,Friedrich Lankischens Erben,Frankfurt und Leipzig,1754.0,45.0,5.636363636363637,0.5636363636363636,0.767027417027417,11,10,1,31,2,1.4363636363636363
ger000631,anonym-das-lustlager,Q120648353,,False,(Anonym),Das Lustlager,Schauspiel in einer Handlung,0,rittmeister|friedrich_friederich,17,0,11,7,4,0,0,367,0,0,5395,5249,73,,,,1778,1778,https://books.google.com/books?id=71RZAAAAcAAJ&amp;printsec=frontcover,,Frankfurt und Leipzig,1778.0,62.0,7.818181818181818,0.7818181818181819,0.8685425685425685,11,10,1,43,2,1.2181818181818183
ger000624,anonym-das-urtheil-des-paris,Q119779327,,False,(Anonym),Das Urtheil des Paris,Ein Musicalisches Schäfer-Spiel in einer Handlung,0,several characters,6,0,6,3,3,0,0,0,228,0,1969,1454,107,,,,1752,1752,https://de.wikisource.org/wiki/Das_Urtheil_des_Paris,Haude und Spener,Berlin,1752.0,37.0,5.0,1.0,1.0,6,5,1,15,1,1.0
ger000588,anonym-der-deutsche-student,Q112943724,Tragedy,False,(Anonym),Der deutsche Student,Ein Trauerspiel in fünf Aufzügen,0,waker,25,5,20,17,3,0,1,190,7,0,5452,5182,310,,,,1779,1779,https://books.google.com/books?id=F7XPW3ReAeIC&amp;printsec=frontcover,Lemke,Lüneburg,1779.0,48.0,3.4,0.17894736842105263,0.6426862026862027,20,14,2,34,3,1.9155844155844155
ger000640,anonym-die-gespenster,Q121599107,,False,(Anonym),Die Gespenster,Funfzehntes Sprüchwort,0,several characters,9,0,4,3,1,0,0,86,0,0,2956,2807,150,,,,1770,1770,https://books.google.com/books?id=Ob1CAQAAMAAJ&amp;pg=PA187,Himburg,Berlin,1775.0,18.0,3.0,1.0,1.0,4,3,1,6,1,1.0
